Title,Published_date,Duration,Views,Likes,Comments
PONNIE x SƠN TÙNG M-TP | HƠN CẢ SỐ 1,2024-08-11,61.0,11552142,51492,4449
SƠN TÙNG M-TP | 7-MINUTE STAGE | ĐỪNG LÀM TRÁI TIM ANH ĐAU,2024-06-22,738.0,4028057,87823,5012
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | BEHIND THE SCENES,2024-06-15,508.0,2577227,65237,2614
LA LA LA LA #DLTTAD DANCE 🧩🎧♥️,2024-06-14,51.0,728559,37813,798
ĐỪNG LÀM TRÁI TIM ANH ĐAU | DANCE CHALLENGE 🧩🎧🔥,2024-06-09,38.0,2471845,99058,1398
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO,2024-06-08,326.0,156275545,1401502,251126
Main Poster: ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹,2024-05-31,10.0,446827,17739,321
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL TEASER,2024-05-29,22.0,1773043,72234,5781
ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP,2024-05-25,10.0,976593,33910,725
… 👀 #DLTTAD 💍,2024-05-22,17.0,532765,14137,251
SƠN TÙNG M-TP | 7-MINUTE STAGE | CHÚNG TA CỦA TƯƠNG LAI,2024-03-23,461.0,4754150,98333,9537
SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | BEHIND THE SCENES,2024-03-15,499.0,1130530,47561,2443
ĐÃ BẢO ĐỪNG BẬT NỮA ...!,2024-03-08,47.0,1625175,78743,1343
SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL MUSIC VIDEO,2024-03-07,277.0,84230857,915445,269993
ACOUSTIC DEMO | CHÚNG TA CỦA TƯƠNG LAI,2024-03-04,52.0,919368,44774,781
SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL TEASER,2024-03-01,37.0,1381386,66841,5974
MB x JCB x SƠN TÙNG M-TP | BE THE SKY,2024-01-18,65.0,3578862,104742,6952
SƠN TÙNG M-TP x BOMATELA | CÓ CHẮC YÊU LÀ ĐÂY (REMIX) | SHOW RECAP,2023-09-29,227.0,1689194,39570,1821
SƠN TÙNG M-TP x BOMATELA | NƠI NÀY CÓ ANH (REMIX) | OFFICIAL VISUALIZER,2023-09-20,215.0,1323790,38267,2419
SƠN TÙNG M-TP x BOMATELA | MUỘN RỒI MÀ SAO CÒN (REMIX) | OFFICIAL VISUALIZER,2023-09-08,448.0,1812062,63851,5239
SON TUNG M-TP | MAKING MY WAY | OFFICIAL VISUALIZER,2023-05-04,258.0,51145563,837145,115201
Don't forget to pre-save ! (link in the description) 👉🏼👉🏼👉🏼✨✨✨,2023-04-29,55.0,1236443,47843,609
Use this sound to show your love for MAKING MY WAY !! ♥️♥️♥️,2023-04-27,24.0,2052902,67987,1179
DELI x SƠN TÙNG M-TP | KIẾN TẠO BẢN SẮC,2023-03-03,61.0,522735,26992,934
SKY DECADE | DREAMS IN THE SKY | ĐIỆN BIÊN  #2,2022-10-27,12.0,776558,26601,214
SKY DECADE | DREAMS IN THE SKY | ĐIỆN BIÊN  #1,2022-10-27,10.0,1444066,43289,306
SKY DECADE | DREAMS IN THE SKY | THÁI BÌNH #2,2022-10-25,10.0,4358029,129039,762
SKY DECADE | DREAMS IN THE SKY | THÁI BÌNH #1,2022-10-25,14.0,1166076,43085,284
SKY DECADE | DREAMS IN THE SKY | TUYÊN QUANG #3,2022-10-24,11.0,289031,12825,101
SKY DECADE | DREAMS IN THE SKY | TUYÊN QUANG #2,2022-10-24,11.0,734318,27361,287
SKY DECADE | DREAMS IN THE SKY | TUYÊN QUANG #1,2022-10-24,11.0,352049,15729,133
SKY DECADE | DREAMS IN THE SKY | THUỴ AN #3,2022-10-23,11.0,314253,13876,130
SKY DECADE | DREAMS IN THE SKY | THUỴ AN #2,2022-10-23,11.0,664998,26222,260
SKY DECADE | DREAMS IN THE SKY | THUỴ AN #1,2022-10-23,16.0,378853,22531,276
SKY DECADE | THE SECOND GIFT | SKY TOUR MOVIE | TRAILER,2022-10-11,132.0,1248786,60724,2355
SƠN TÙNG M-TP | SKY DECADE | Cơn Mưa Xa Dần,2022-10-06,197.0,11218979,136430,7034
SƠN TÙNG M-TP | SKY DECADE | Lời Tri Ân,2022-10-06,80.0,786044,67725,4605
SƠN TÙNG M-TP | SKY DECADE | Nắng Ấm Ngang Qua,2022-10-06,196.0,5864140,83279,5152
SƠN TÙNG M-TP | SKY DECADE | Intro 2022,2022-10-06,84.0,2044501,75875,5100
SKY DECADE,2022-10-04,60.0,246027,23263,819
SƠN TÙNG M-TP | THERE’S NO ONE AT ALL (ANOTHER VERSION) | OFFICIAL MUSIC VIDEO,2022-07-04,222.0,24463641,586373,67146
SƠN TÙNG M-TP | THERE'S NO ONE AT ALL | TEASING AUDIO,2022-04-25,221.0,2828809,137441,8479
SƠN TÙNG M-TP | THERE'S NO ONE AT ALL | OFFICIAL TRAILER,2022-04-23,44.0,4877568,189257,25404
SƠN TÙNG M-TP | #NOAA | FASHION CLIP,2022-04-15,51.0,349711,25219,454
SƠN TÙNG M-TP | #NOAA | UNBOXING VIDEO,2022-04-14,42.0,416078,25797,672
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | KỸ NĂNG DIỄN XUẤT  | OFFICIAL EPISODE 45,2022-04-14,317.0,314024,9827,453
