month_start,video_count,avg_views,median_views,avg_engagement_rate
2015-01-01,1,55852134.0000,55852134.0000,0.00730000
2015-04-01,2,2074355.0000,2074355.0000,0.01040000
2015-05-01,1,568167.0000,568167.0000,0.01750000
2015-06-01,2,2805709.5000,2805709.5000,0.01695000
2015-08-01,5,35326105.4000,1063633.0000,0.00882000
2015-10-01,1,103167.0000,103167.0000,0.03080000
2015-11-01,1,346242.0000,346242.0000,0.01430000
2015-12-01,7,25465115.7143,247516.0000,0.02052857
2016-01-01,9,12058096.6667,312747.0000,0.01556667
2016-02-01,7,214793.1429,185938.0000,0.01768571
2016-07-01,3,18918185.0000,13275866.0000,0.00823333
2016-08-01,2,119850592.5000,119850592.5000,0.00965000
2016-11-01,5,815329.4000,843594.0000,0.02482000
2016-12-01,3,95024115.0000,2416714.0000,0.01196667
2017-01-01,4,2081404.7500,1419722.0000,0.03922500
2017-02-01,3,141577771.3333,3547620.0000,0.01550000
2017-03-01,2,1528273.5000,1528273.5000,0.03600000
2017-04-01,2,530152.0000,530152.0000,0.04090000
2017-09-01,5,3201188.4000,764810.0000,0.03004000
2017-11-01,1,NULL,NULL,NULL
2018-05-01,5,36198174.8000,5135755.0000,0.02556000
2018-07-01,3,22649966.3333,18095694.0000,0.02266667
2018-11-01,1,1896388.0000,1896388.0000,0.04120000
2019-01-01,1,4875299.0000,4875299.0000,0.02470000
2019-04-01,1,22616500.0000,22616500.0000,0.01780000
2019-05-01,2,17628117.0000,17628117.0000,0.01580000
2019-06-01,1,1785775.0000,1785775.0000,0.05520000
2019-07-01,2,156863236.5000,156863236.5000,0.02560000
2019-12-01,1,886558.0000,886558.0000,0.04870000
2020-05-01,1,2832370.0000,2832370.0000,0.08340000
2020-06-01,2,6562457.5000,6562457.5000,0.06880000
2020-07-01,3,65001864.3333,5976321.0000,0.05326667
2020-08-01,5,2184185.4000,1253692.0000,0.06024000
2020-11-01,1,6528380.0000,6528380.0000,0.02430000
2020-12-01,4,34374324.2500,10137866.0000,0.04735000
2021-01-01,5,6792430.2000,1933319.0000,0.05820000
2021-04-01,3,78323325.3333,4479068.0000,0.04820000
2021-05-01,6,1848719.8333,1115781.0000,0.06980000
2021-06-01,5,1092885.8000,303434.0000,0.06292000
2021-07-01,4,238295.7500,240846.0000,0.07050000
2021-08-01,4,192608.7500,192340.0000,0.07235000
2021-09-01,4,173472.0000,173597.0000,0.07300000
2021-10-01,3,142552.3333,141747.0000,0.07393333
2021-11-01,4,130267.5000,131223.0000,0.07287500
2021-12-01,5,119694.0000,122279.0000,0.06762000
2022-01-01,4,132858.2500,132332.0000,0.05885000
2022-02-01,4,126586.2500,129267.5000,0.05345000
2022-03-01,3,129680.6667,131196.0000,0.04843333
2022-04-01,6,1486787.3333,382893.5000,0.05211667
2022-07-01,1,24463611.0000,24463611.0000,0.02670000
2022-10-01,16,1992913.4375,781299.5000,0.04448125
2023-03-01,1,522735.0000,522735.0000,0.05340000
2023-04-01,2,1644655.0000,1644655.0000,0.03645000
2023-05-01,1,51145499.0000,51145499.0000,0.01860000
2023-09-01,3,1608348.6667,1689194.0000,0.03110000
2024-01-01,1,3578862.0000,3578862.0000,0.03120000
2024-03-01,6,15673563.8333,1503281.0000,0.03876667
2024-05-01,4,932297.5000,754668.0000,0.03672500
2024-06-01,5,33216150.2000,2577227.0000,0.03070000
2024-08-01,1,11552144.0000,11552144.0000,0.00480000
