title,engagement_rate,views,likes,comments,duration_seconds,published_date
"SKY DECADE",0.0979,246027,23263,819,60,"2022-10-04 00:00:00"
"SKY TOUR MOVIE | GOING GLOBAL | STAY TUNED",0.0962,523101,47743,2558,18,"2020-08-24 00:00:00"
"SƠN TÙNG M-TP | SKY DECADE | Lời Tri Ân",0.0920,786041,67725,4605,80,"2022-10-06 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | QUÀ MỪNG THỌ | OFFICIAL EPISODE 1",0.0844,1586571,127658,6189,409,"2021-05-12 00:00:00"
"SKY TOUR MOVIE | SƠN TÙNG M-TP | OFFICIAL TRAILER",0.0834,2832370,219082,17252,78,"2020-05-31 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI COMIC | OFFICIAL TRAILER",0.0824,1382179,109904,3946,140,"2021-01-03 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỜ THỜI CƠ | OFFICIAL EPISODE 2",0.0822,644991,50475,2549,304,"2021-05-14 00:00:00"
"SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | ONLINE STAGE",0.0778,3182528,231654,15901,1281,"2020-07-20 00:00:00"
"DỪNG LẠI HAY BỨT PHÁ | SƠN TÙNG M-TP x TIGER BEER",0.0769,1108227,81321,3874,45,"2021-01-19 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỊ ĐIÊN HAY HỌ ĐIÊN  | OFFICIAL EPISODE 25",0.0768,129222,9441,486,392,"2021-11-11 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | BÃO TỐ SẮP ĐẾN | OFFICIAL EPISODE 4",0.0766,375448,27505,1268,305,"2021-05-27 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐỪNG HÒNG CHIA CẮT CHÚNG TÔI | OFFICIAL EPISODE 18",0.0753,164542,11797,593,325,"2021-09-09 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 3 NGƯỜI BỊ TÂM THẦN | OFFICIAL EPISODE 21",0.0753,141747,10100,567,344,"2021-10-14 00:00:00"
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | OFFICIAL TRAILER",0.0747,5377024,368013,33399,30,"2020-12-17 00:00:00"
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MỘT ĐÊM KHÓ NGỦ | OFFICIAL EPISODE 22",0.0743,146493,10335,556,400,"2021-10-21 00:00:00"
