title,published_date,duration_seconds,log_views,log_likes,log_comments
"PONNIE x SƠN TÙNG M-TP | HƠN CẢ SỐ 1","2024-08-11 00:00:00",61,7.062662631429222,4.71174819471113,3.6483600109809315
"SƠN TÙNG M-TP | 7-MINUTE STAGE | ĐỪNG LÀM TRÁI TIM ANH ĐAU","2024-06-22 00:00:00",738,6.6050853647445,4.94361321343754,3.7000977046130537
"SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | BEHIND THE SCENES","2024-06-15 00:00:00",508,6.411152841042862,4.814500638415482,3.417471693203293
"LA LA LA LA #DLTTAD DANCE 🧩🎧♥️","2024-06-14 00:00:00",51,5.862465323567787,4.577652619865689,2.902546779313991
"ĐỪNG LÀM TRÁI TIM ANH ĐAU | DANCE CHALLENGE 🧩🎧🔥","2024-06-09 00:00:00",38,6.393010340996373,4.995893939468424,3.1458177144918276
"SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO","2024-06-08 00:00:00",326,8.193890127300326,6.146594031730305,5.399893408533827
"Main Poster: ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹","2024-05-31 00:00:00",10,5.650140379896752,4.248953615495708,2.507855871695831
"SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL TEASER","2024-05-29 00:00:00",22,6.24871559411726,4.858747677123267,3.762078087334639
"ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP","2024-05-25 00:00:00",10,5.989703823442908,4.530340596857957,2.8609366207000937
"… 👀 #DLTTAD 💍","2024-05-22 00:00:00",17,5.726537316459256,4.1503879773252805,2.401400540781544
"SƠN TÙNG M-TP | 7-MINUTE STAGE | CHÚNG TA CỦA TƯƠNG LAI","2024-03-23 00:00:00",461,6.677072971549779,4.992703705617888,3.979457318097848
"SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | BEHIND THE SCENES","2024-03-15 00:00:00",499,6.0532824755220265,4.677260108577043,3.3881012015705165
"ĐÃ BẢO ĐỪNG BẬT NỮA ...!","2024-03-08 00:00:00",47,6.210900400200936,4.8962174720976535,3.1283992687178066
"SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL MUSIC VIDEO","2024-03-07 00:00:00",277,7.925470786303483,5.961632256978477,5.431354113063266
